File,Task Condition,Fit type,R,Rmin,Rmax,dprime,dmin,dmax,AUROC,
../../Data/09RaN4UIEharoVW5g8y6_responses.xlsx,Sheet1,Conf,0.21,0,0.35,0,0,0.43,0.61,Yes
../../Data/0byyJjFw7xaS6bv4Xbbl_responses.xlsx,Sheet1,Conf,0.01,0,0.12,0,0,0.1,0.51,Yes
../../Data/0C3Qh8c36OkJxrrCDwUB_responses.xlsx,Sheet1,Conf,0.45,0.35,0.53,0,0,0.39,0.72,Yes
../../Data/0dJglgq09qU4bHYDfkET_responses.xlsx,Sheet1,Conf,0,0,0.29,0.22,0,0.58,0.56,NaN in Matlab
../../Data/0frgcAbRqChDchaRBwUo_responses.xlsx,Sheet1,Conf,0.27,0,0.48,1.16,0.62,1.68,0.85,Yes
../../Data/0QdYxTabECPS8sKiqFTT_responses.xlsx,Sheet1,Conf,0.13,0,0.22,0.71,0.4,1.02,0.73,Yes
../../Data/0VrYliuVSykEMQQiLToH_responses.xlsx,Sheet1,Conf,0.09,0.01,0.17,0.28,0.02,0.54,0.61,Yes
../../Data/11qM4eXcxkc1hI23kKW9_responses.xlsx,Sheet1,Conf,0.41,0.12,0.54,0.44,0,1.08,0.78,Yes
../../Data/15TRDE8yE1yymY1CUJF7_responses.xlsx,Sheet1,Conf,0.17,0,0.39,0.04,0,0.41,0.6,Yes
../../Data/18Qs0CslyhfR5XeoHYbb_responses.xlsx,Sheet1,Conf,0,0,0.06,0,0,0.09,0.5,Yes
../../Data/1ak7yQUoIX150qiE0LYe_responses.xlsx,Sheet1,Conf,0.12,0,0.54,0.46,0,0.78,0.67,Yes
../../Data/1OAr1dV6PSYYmDOGGm1L_responses.xlsx,Sheet1,Conf,0.53,0,0.73,0.76,0,1.55,0.86,Yes
../../Data/20kmkNdmxVqWCIS3cNfy_responses.xlsx,Sheet1,Conf,0.18,0,0.42,0.64,0.11,1.03,0.73,Yes
../../Data/26Y7x8Mxrs2uYKsOK6Me_responses.xlsx,Sheet1,Conf,0.43,0.06,0.57,0.82,0.34,1.38,0.84,Yes
../../Data/2BU3ABHCxKPryrTskobX_responses.xlsx,Sheet1,Conf,0,0,0.11,0,0,0.1,0.5,Yes
