File,Task Condition,Fit type,R,Rmin,Rmax,dprime,dmin,dmax,AUROC,
../data/09RaN4UIEharoVW5g8y6_responses.xlsx,NA,NA,0.21,0.00,0.35,0.00,0.00,0.43,0.61,
../data/0byyJjFw7xaS6bv4Xbbl_responses.xlsx,NA,NA,0.01,0.00,0.12,0.00,0.00,0.10,0.51,
../data/0C3Qh8c36OkJxrrCDwUB_responses.xlsx,NA,NA,0.45,0.35,0.53,0.00,0.00,0.39,0.72,
../data/0dJglgq09qU4bHYDfkET_responses.xlsx,NA,NA,0.00,0.00,0.29,0.22,0.00,0.58,0.56,
../data/0frgcAbRqChDchaRBwUo_responses.xlsx,NA,NA,0.27,0.00,0.48,1.16,0.62,1.68,0.85,
../data/0QdYxTabECPS8sKiqFTT_responses.xlsx,NA,NA,0.13,0.00,0.22,0.71,0.40,1.02,0.73,
../data/0VrYliuVSykEMQQiLToH_responses.xlsx,NA,NA,0.09,0.01,0.17,0.28,0.02,0.54,0.61,
../data/11qM4eXcxkc1hI23kKW9_responses.xlsx,NA,NA,0.41,0.12,0.54,0.44,0.00,1.08,0.78,
../data/15TRDE8yE1yymY1CUJF7_responses.xlsx,NA,NA,0.17,0.00,0.39,0.04,0.00,0.41,0.60,
../data/18Qs0CslyhfR5XeoHYbb_responses.xlsx,NA,NA,0.00,0.00,0.06,0.00,0.00,0.09,0.50,
../data/1ak7yQUoIX150qiE0LYe_responses.xlsx,NA,NA,0.12,0.00,0.54,0.46,0.00,0.78,0.67,
../data/1OAr1dV6PSYYmDOGGm1L_responses.xlsx,NA,NA,0.53,0.00,0.73,0.76,0.00,1.55,0.86,
../data/20kmkNdmxVqWCIS3cNfy_responses.xlsx,NA,NA,0.18,0.00,0.42,0.64,0.11,1.03,0.73,
../data/26Y7x8Mxrs2uYKsOK6Me_responses.xlsx,NA,NA,0.43,0.07,0.57,0.82,0.34,1.38,0.84,
../data/2BU3ABHCxKPryrTskobX_responses.xlsx,NA,NA,0.00,0.00,0.11,0.00,0.00,0.10,0.50,
../data/35dAEhLbJITN0UNcxYTm_responses.xlsx,NA,NA,0.02,0.00,0.09,0.19,0.00,0.46,0.56,
../data/3gjgXV5oRLIHsS9R4idI_responses.xlsx,NA,NA,0.00,0.00,0.10,0.00,0.00,0.10,0.50,
../data/3PwxlD6Y7RDPN1Ctf82w_responses.xlsx,NA,NA,0.18,0.00,0.38,0.71,0.24,1.13,0.75,
../data/3U0or9D0yXooHchaEbQ4_responses.xlsx,NA,NA,0.40,0.11,0.50,0.84,0.42,1.38,0.83,
../data/42EdqEDitqM3OH15Uyya_responses.xlsx,NA,NA,0.00,0.00,0.04,0.00,0.00,0.18,0.50,
../data/4gycIiueXXKkAQ0sPtji_responses.xlsx,NA,NA,0.00,0.00,0.20,0.59,0.23,0.81,0.66,
../data/4o9gKp3jnoFy8J2pmGVh_responses.xlsx,NA,NA,0.00,0.00,0.90,2.51,0.00,2.76,0.96,have checked this and it's just that the likelihood really is very insensitive to R
../data/4SeUCr4ST8Oa40LiOKxd_responses.xlsx,NA,NA,0.19,0.00,0.31,0.00,0.00,0.37,0.59,
../data/5hEVrS5OUJ37PXjM2jVj_responses.xlsx,NA,NA,0.05,0.00,0.35,0.00,0.00,0.20,0.52,
../data/5jcUEO9WFjMe4oUaPfCM_responses.xlsx,NA,NA,0.00,0.00,0.05,0.00,0.00,0.19,0.50,
../data/5KsLDbBTCb9P7hFB9xVx_responses.xlsx,NA,NA,0.24,0.05,0.34,0.09,0.00,0.50,0.64,
../data/665rTvPXsHfxTWQva0Td_responses.xlsx,NA,NA,0.17,0.05,0.26,0.55,0.00,1.08,0.71,
../data/6hMH5A4co701o6YQqvxh_responses.xlsx,NA,NA,0.00,0.00,0.15,0.02,0.00,0.24,0.51,
../data/7ND4KAS1RxhJDpUwDTwU_responses.xlsx,NA,NA,0.00,0.00,0.48,0.30,0.00,0.59,0.58,
../data/7xvrlhTGaMaefbV3JmYm_responses.xlsx,NA,NA,0.00,0.00,0.43,1.00,0.28,1.20,0.76,
../data/8080qLaYPMjGX1vGUvI4_responses.xlsx,NA,NA,0.04,0.00,0.18,0.00,0.00,0.21,0.52,
../data/86SWdPFJX1UrRk3KXIhK_responses.xlsx,NA,NA,0.15,0.00,0.33,1.01,0.58,1.43,0.80,
../data/8Oo65iouDr7MttFr8eU9_responses.xlsx,NA,NA,0.14,0.00,0.23,0.80,0.48,1.16,0.75,
